timestamp,FlightDecimal
2015-03-20T21:00:00.000Z,23.9516625615764
2015-03-20T22:00:00.000Z,23.0728888291688
2015-03-20T23:00:00.000Z,22.2708190476318
2015-03-21T00:00:00.000Z,21.3394373423804
2015-03-21T01:00:00.000Z,20.1010743049325
2015-03-21T02:00:00.000Z,18.4150717551479
2015-03-21T03:00:00.000Z,17.7483817583905
2015-03-21T04:00:00.000Z,17.6589726749868
2015-03-21T05:00:00.000Z,17.0922334804965
2015-03-21T06:00:00.000Z,17.9022626474071
2015-03-21T07:00:00.000Z,17.9134315019288
2015-03-21T08:00:00.000Z,17.9623415917395
2015-03-21T09:00:00.000Z,18.6299049947767
2015-03-21T10:00:00.000Z,18.7246461115231
2015-03-21T11:00:00.000Z,18.3452032121395
2015-03-21T12:00:00.000Z,17.9509405148159
2015-03-21T13:00:00.000Z,17.6459367384257