x,y,lower_80,upper_80,lower_95,upper_95,
1,13.81610793,13.81610793,13.81610793,13.81610793,13.81610793,
2,12.97338758,12.97338758,12.97338758,12.97338758,12.97338758,
3,8.851865507,8.851865507,8.851865507,8.851865507,8.851865507,
4,7.050240446,7.050240446,7.050240446,7.050240446,7.050240446,
5,11.86215647,11.86215647,11.86215647,11.86215647,11.86215647,
6,12.22408481,12.22408481,12.22408481,12.22408481,12.22408481,
7,13.14130697,13.14130697,13.14130697,13.14130697,13.14130697,
8,12.5383155,12.5383155,12.5383155,12.5383155,12.5383155,
9,13.2124484,13.2124484,13.2124484,13.2124484,13.2124484,
10,9.201789603,9.201789603,9.201789603,9.201789603,9.201789603,
11,7.656832721,7.656832721,7.656832721,7.656832721,7.656832721,
12,9.847311594,9.847311594,9.847311594,9.847311594,9.847311594,
13,10.84136853,10.84136853,10.84136853,10.84136853,10.84136853,
14,11.35559625,11.35559625,11.35559625,11.35559625,11.35559625,
15,13.52795539,13.52795539,13.52795539,13.52795539,13.52795539,
16,12.24339037,12.24339037,12.24339037,12.24339037,12.24339037,
17,9.475135942,9.475135942,9.475135942,9.475135942,9.475135942,
18,7.611910798,7.611910798,7.611910798,7.611910798,7.611910798,
19,11.51741164,11.51741164,11.51741164,11.51741164,11.51741164,
20,18.63918353,18.63918353,18.63918353,18.63918353,18.63918353,
21,13.07936687,13.07936687,13.07936687,13.07936687,13.07936687,
22,12.32999388,12.32999388,12.32999388,12.32999388,12.32999388,
23,14.37512296,14.37512296,14.37512296,14.37512296,14.37512296,
24,9.422414729,9.422414729,9.422414729,9.422414729,9.422414729,
25,7.451705869,7.451705869,7.451705869,7.451705869,7.451705869,
26,10.09087575,10.09087575,10.09087575,10.09087575,10.09087575,
27,10.70024521,10.70024521,10.70024521,10.70024521,10.70024521,
28,11.24178017,11.24178017,11.24178017,11.24178017,11.24178017,
29,10.46687899,10.46687899,10.46687899,10.46687899,10.46687899,
30,13.57233744,13.57233744,13.57233744,13.57233744,13.57233744,
31,6.924104868,6.924104868,6.924104868,6.924104868,6.924104868,
32,5.061713452,5.061713452,5.061713452,5.061713452,5.061713452,
33,9.49944458,9.49944458,9.49944458,9.49944458,9.49944458,
34,12.61271772,12.61271772,12.61271772,12.61271772,12.61271772,
35,15.52479437,15.52479437,15.52479437,15.52479437,15.52479437,
36,14.32463243,14.32463243,14.32463243,14.32463243,14.32463243,
37,14.793,13.036,16.55,12.105,17.48,
38,10.555,8.804,12.305,7.877,13.232,
39,8.577,6.811,10.344,5.876,11.279,
40,12.719,10.947,14.491,10.008,15.429,
41,14.013,12.218,15.808,11.268,16.758,
42,13.113,11.37,14.919,10.351,15.875,
43,12.39,10.57,14.21,9.606,15.173,
44,12.57,10.743,14.396,9.776,15.363,
45,7.965,6.099,9.831,5.111,10.818,
46,5.616,3.713,7.519,2.706,8.527,
47,9.135,7.231,11.039,6.223,12.046,
48,11.516,9.609,13.423,8.6,14.433,