key,value,date
Mttx,268,2019-07-09
Mttx,202,2019-07-09
Mttx,43,2019-07-15
Mttx,909,2019-07-16
Mttx,27,2019-07-17
Mttx,283,2019-07-18
Mttx,465,2019-07-19
Mttx,342,2019-07-24
Mttx,174,2019-07-24
Mttx,3621,2019-07-25
Mttx,68,2019-07-29
Mttx,67,2019-07-29
Mttx,1400,2019-08-01
Mttx,3227,2019-08-01
Mttx,0,2019-08-05
Mttx,132,2019-08-07
Mttx,170,2019-08-08
Mttx,1852,2019-08-09
Mttx,227,2019-08-12
Mttx,122,2019-08-15
Mttx,53,2019-08-16
Mttx,615,2019-08-19
Mttx,5721,2019-08-22
Mttx,305,2019-08-22
Mttx,56,2019-08-29
Mttx,333,2019-09-06
Mttx,25,2019-09-06
Mttx,308,2019-09-06
Mttx,144,2019-09-09
Mttx,261,2019-09-11
Mttx,1052,2019-09-11
Mttx,30,2019-09-11
Mttx,165,2019-09-11
Mttx,78,2019-09-13
Mttx,86,2019-09-16
Mttx,13,2019-09-24
Mttx,273,2019-09-24
Mttx,1148,2019-09-25
Mttx,57,2019-09-25
Mttx,40,2019-09-25
Mttx,66,2019-09-26
Mttx,1564,2019-09-26
Mttx,416,2019-09-26
Mttx,44,2019-09-27
Mttx,241,2019-09-30
Mttx,567,2019-10-04
Mttx,165,2019-10-08
Mttx,280,2019-10-16
Mttx,3051,2019-10-18
Mttx,127,2019-10-30
Mttx,0,2019-11-05
Mttx,1330,2019-11-05
Mttx,213,2019-11-07
Mttx,0,2019-11-07
Mttx,0,2019-11-07
Mttx,164,2019-11-12
Mttx,24,2019-11-20
Mttx,428,2019-11-20
Mttx,356,2019-11-22
Mttx,55,2019-12-04
Mttx,1081,2019-12-05
Mttx,43659,2019-12-11
Mttx,3140,2020-01-03
Mttx,131,2020-01-06
Mttx,312,2020-01-06
Mttx,134,2020-01-06
Mttx,96,2020-01-17
Mttx,218,2020-01-24
Mttx,215,2020-01-28
Mttx,289,2020-02-06
Mttx,281,2020-02-07
Mttx,189,2020-02-12
Mttx,0,2020-02-17